          mu_1      mu_2     mu_3 loglihood
 [1,] 6.332515 10.093124 12.81189 -255.8575
 [2,] 7.806002  9.936705 11.74786 -246.4979
 [3,] 8.494399  9.963340 11.21247 -246.8867
 [4,] 8.799607 10.016160 11.02183 -249.8503
 [5,] 8.929626 10.058309 10.95644 -251.7252
 [6,] 8.984894 10.085642 10.92730 -252.6703
 [7,] 9.007363 10.103924 10.91071 -253.1298
 [8,] 9.015429 10.117464 10.89966 -253.3539
 [9,] 9.017264 10.128418 10.89149 -253.4664
[10,] 9.016509 10.137762 10.88496 -253.5266
[11,] 9.014778 10.145953 10.87946 -253.5624
[12,] 9.012775 10.153233 10.87466 -253.5868
[13,] 9.010797 10.159749 10.87039 -253.6056
[14,] 9.008958 10.165608 10.86654 -253.6217
[15,] 9.007291 10.170893 10.86304 -253.6361
[16,] 9.005797 10.175674 10.85986 -253.6495
[17,] 9.004462 10.180007 10.85695 -253.6620
[18,] 9.003270 10.183943 10.85428 -253.6737
[19,] 9.002203 10.187525 10.85184 -253.6846
[20,] 9.001247 10.190791 10.84960 -253.6949
[21,] 9.000387 10.193772 10.84755 -253.7045
[22,] 8.999613 10.196498 10.84566 -253.7135
[23,] 8.998913 10.198994 10.84392 -253.7219
[24,] 8.998280 10.201282 10.84232 -253.7298
[25,] 8.997705 10.203382 10.84085 -253.7370
[26,] 8.997183 10.205311 10.83949 -253.7438
[27,] 8.996707 10.207086 10.83824 -253.7501
[28,] 8.996274 10.208719 10.83708 -253.7560
[29,] 8.995877 10.210224 10.83601 -253.7615
[30,] 8.995514 10.211611 10.83503 -253.7665
[31,] 8.995182 10.212891 10.83411 -253.7712
[32,] 8.994877 10.214072 10.83327 -253.7756
[33,] 8.994598 10.215164 10.83249 -253.7797
[34,] 8.994340 10.216173 10.83176 -253.7835
[35,] 8.994104 10.217106 10.83109 -253.7870
[36,] 8.993886 10.217969 10.83047 -253.7903
[37,] 8.993685 10.218769 10.82990 -253.7933
[38,] 8.993500 10.219509 10.82936 -253.7962
[39,] 8.993329 10.220194 10.82887 -253.7988
[40,] 8.993171 10.220830 10.82841 -253.8012
[41,] 8.993025 10.221419 10.82798 -253.8035
[42,] 8.992890 10.221965 10.82759 -253.8056
[43,] 8.992765 10.222472 10.82722 -253.8076
[44,] 8.992650 10.222942 10.82688 -253.8094
[45,] 8.992543 10.223379 10.82656 -253.8111
[46,] 8.992444 10.223784 10.82627 -253.8127
[47,] 8.992352 10.224160 10.82599 -253.8142
[48,] 8.992267 10.224509 10.82574 -253.8155
[49,] 8.992188 10.224834 10.82550 -253.8168
[50,] 8.992115 10.225135 10.82528 -253.8180
[51,] 8.992047 10.225416 10.82508 -253.8191
[52,] 8.991984 10.225676 10.82489 -253.8201
